Material|Old Material|Vendor ID|Vendor Name|List Price|Quantity|PDT/LT|SKU Category|Selling UOM|Material Description|DChain Spec Status|Material Group 2 Description|Material Group 5 Description|Sales Text (F)
342020-0250|NLG342020-0250|IVG2960|Thermo Fisher Scientific Pte Ltd.|281.00|6.00|144|CORE|CS|STER. PETG MEDIA BTL. 250ML||Core LPE|RSD Prefix - NLG|
342020-0500|NLG342020-0500|IVG2960|Thermo Fisher Scientific Pte Ltd.|235.00|1.00|144|CORE|CS|500 mL Media Bottle STERILE Graduated||Core LPE|RSD Prefix - NLG|
342020-1000|NLG342020-1000|IVG2960|Thermo Fisher Scientific Pte Ltd.|288.00|50.00|144|CORE|CS|1000 mL Media Bottle STERILE Graduated||Core LPE|RSD Prefix - NLG|
342020-2000|NLG342020-2000|IVG2960|Thermo Fisher Scientific Pte Ltd.|328.00|4.00|144|CORE|CS|2000 mL Media Bottle STERILE Graduated||Core LPE|RSD Prefix - NLG|
342024-0125|NLG342024-0125|IVG2960|Thermo Fisher Scientific Pte Ltd.|256.00|0.00|144||CS|125 mL Media Bottle PETG STERILE witho||RSD-Liquid Handing|RSD Prefix - NLG|
342040-0125|NLG342040-0125|IVG2960|Thermo Fisher Scientific Pte Ltd.|272.00|0.00|144|CORE|CS|125 mL Media Bottle Graduated Square -||Core LPE|RSD Prefix - NLG|
342040-0250|NLG342040-0250|IVG2960|Thermo Fisher Scientific Pte Ltd.|237.00|0.00|144|CORE|CS|BTL SQ PET 250ML W/CLOS STER||Core LPE|RSD Prefix - NLG|
342040-0650|NLG342040-0650|IVG2960|Thermo Fisher Scientific Pte Ltd.|261.00|0.00|144|CORE|CS|BTL SQ PET 650ML W/CLOS STER||Core LPE|RSD Prefix - NLG|
342089-0001|NLG342089-0001|IVG2960|Thermo Fisher Scientific Pte Ltd.|1029.00|0.00|144|CORE|CS|30 mL Bottle Narrow-Mouth HDPE w/white||Core LPE|RSD Prefix - NLG|
342089-0002|NLG342089-0002|IVG2960|Thermo Fisher Scientific Pte Ltd.|808.00|0.00|144|CORE|CS|60 mL Bottle Narrow-Mouth HDPE w/white||Core LPE|RSD Prefix - NLG|
342089-0004|NLG342089-0004|IVG2960|Thermo Fisher Scientific Pte Ltd.|399.00|1.00|144|CORE|CS|125 mL Bottle Narrow-Mouth HDPE w/whit||Core LPE|RSD Prefix - NLG|
342089-0008|NLG342089-0008|IVG2960|Thermo Fisher Scientific Pte Ltd.|401.00|0.00|144|CORE|CS|250 mL Bottle Narrow-Mouth HDPE w/whit||Core LPE|RSD Prefix - NLG|
342089-0016|NLG342089-0016|IVG2960|Thermo Fisher Scientific Pte Ltd.|413.00|9.00|144|CORE|CS|500 mL Bottle, Narrow-Mouth, HDPE w/whit||Core LPE|RSD Prefix - NLG|
342089-0032|NLG342089-0032|IVG2960|Thermo Fisher Scientific Pte Ltd.|164.00|0.00|144|CORE|CS|1000mL Bottle Narrow-Mouth HDPE w/whit||Core LPE|RSD Prefix - NLG|
342141-0384|NLG342141-0384|IVG2960|Thermo Fisher Scientific Pte Ltd.|215.00|0.00|144||CS|Clos.Tamper Evident, HDPE, 38-430, Ster||Core LPE|RSD Prefix - NLG|
342151-0384|NLG342151-0384|IVG2960|Thermo Fisher Scientific Pte Ltd.|143.00|0.00|144||CS|38-430 Closures STERILE HDPE (for use||Core LPE|RSD Prefix - NLG|
342178-0384|NLG342178-0384|IVG2960|Thermo Fisher Scientific Pte Ltd.|963.00|0.00|144||CS|38-430 Closure Septum (for use with 342||Core LPE|RSD Prefix - NLG|
3422-11|TSM3422-11|IVG2960|Thermo Fisher Scientific Pte Ltd.|48.00|20.00|112||EA|0.5 HLT FREE STAND MCT W/O CAP||RSD-Liquid Handing|RSD Prefix - TSM|
